biennials,bi-en-ni-als
indict,in-dict
stylistically,sty-lis-ti-cal-ly
turncoats,turn-coats
wordforword,word--for--word
eviscerates,e-vis-cer-ates
balloonists,bal-loon-ists
puerperal,pu-er-per-al
catholicism,ca-thol-i-cism
decanting,de-cant-ing
attainder,at-tain-der
booziest,booz-i-est
howdyedo,how--dye--do
entitle,en-ti-tle
baywreaths,bay--wreaths
altruist,al-tru-ist
abrogating,ab-ro-gat-ing
crowsnests,crows--nests
flintstone,flint-stone
detouring,de-tour-ing
ginned,ginned
scallywag,scal-ly-wag
laudability,laud-a-bil-i-ty
rosiest,ros-i-est
misguide,mis-guide
prosiness,pros-i-ness
shiftless,shift-less
coherency,co-her-en-cy
swindling,swin-dling
disafforestation,dis-af-for-est-a-tion
monsignors,mon-si-gnors
reminiscently,rem-i-nis-cent-ly
sourly,sour-ly
morphemic,mor-phem-ic
discretely,dis-crete-ly
banningorder,ban-ning--or-der
fornicate,for-ni-cate
gamesmanship,games-man-ship
fleurdelis,fleur--de--lis
deductible,de-duct-i-ble
softsoaped,soft--soaped
soundrecordings,sound--re-cord-ings
gayness,gay-ness
agonizes,ag-o-niz-es
idolizations,i-dol-i-za-tions
clearway,clear-way
planchettes,plan-chettes
selfsealing,self--seal-ing
chinwagging,chin--wag-ging
ostentatious,os-ten-ta-tious
tomboyish,tom-boy-ish
newsroom,news-room
checkrail,check-rail
carbohydrates,car-bo-hy-drates
psychologies,psy-chol-o-gies
roughspoken,rough--spo-ken
burberries,bur-ber-ries
chronicling,chron-i-cling
mainmast,main-mast
diptych,dip-tych
mythologist,my-thol-o-gist
complemented,com-ple-ment-ed
anthropomorphism,an-thro-po-mor-phism
diplomatically,dip-lo-mat-i-cal-ly
censoring,cen-sor-ing
laxities,lax-i-ties
mineralogist,min-er-al-o-gist
sunshades,sun-shades
highestgrade,high-est--grade
hobbleskirts,hob-ble--skirts
edibility,ed-i-bil-i-ty
highmindedness,high--mind-ed-ness
callups,call--ups
indonesia,in-do-ne-sia
inoffensiveness,in-of-fen-sive-ness
earthshakingly,earth-shak-ing-ly
diphtheria,diph-the-ri-a
diversify,di-ver-si-fy
magnetization,mag-net-i-za-tion
dissatisfying,dis-sat-is-fy-ing
kvass,kvass
mortified,mor-ti-fied
cowing,cow-ing
freedwomen,freed-wom-en
unmitigatedly,un-mit-i-gat-ed-ly
sketchblocks,sketch--blocks
waterrate,wa-ter--rate
productively,pro-duc-tive-ly
disadvantageously,dis-ad-van-ta-geous-ly
sniffiest,snif-fi-est
hauntingly,haunt-ing-ly
watchtowers,watch-tow-ers
moralities,mo-ral-i-ties
demisters,de-mist-ers
groovier,groov-i-er
graziers,gra-ziers
fluoridizing,flu-or-i-diz-ing
driftage,drift-age
salaciousness,sa-la-cious-ness
neckcloth,neck-cloth
fluoridizes,flu-or-i-diz-es
whalinggun,whal-ing--gun
biologists,bi-ol-o-gists
disburdens,dis-bur-dens
swineherd,swine-herd
horsebox,horse-box
fluoridized,flu-or-i-dized
capitulation,ca-pit-u-la-tion
atrophy,at-ro-phy
annuitant,an-nu-i-tant
derating,de-rat-ing
burgomasters,bur-go-mas-ters
stubbliest,stub-bli-est
ransomed,ran-somed
masterminding,mas-ter-mind-ing
cretinous,cre-tin-ous
lemming,lem-ming
ingratiated,in-gra-ti-at-ed
modishly,mod-ish-ly
bulgy,bulg-y
truculency,truc-u-len-cy
bermudan,ber-mu-dan
sprain,sprain
ransomer,ran-som-er
breakables,break-a-bles
tenanted,ten-ant-ed
draggier,drag-gi-er
wagonettes,wag-on-ettes
mozambique,mo-zam-bique
crinkliness,crink-li-ness
authoritarian,au-thor-i-tar-i-an
antecedence,an-te-ced-ence
sidedrum,side--drum
libyans,lib-y-ans
hipsters,hip-sters
mutability,mu-ta-bil-i-ty
drycleans,dry--cleans
offloads,off--loads
copulation,cop-u-la-tion
nonsmokers,non-smok-ers
topdresses,top--dress-es
philhellene,phil-hel-lene
predispositions,pre-dis-po-si-tions
pomeranian,pom-er-a-ni-an
boggles,bog-gles
topdressed,top--dressed
elevenplus,e-lev-en--plus
gypped,gypped
illegalities,il-le-gal-i-ties
resthouse,rest--house
inarticulateness,in-ar-tic-u-late-ness
proles,proles
dissections,dis-sec-tions
deeperseated,deep-er--seat-ed
unfavourable,un-fa-vour-a-ble
rotaries,ro-ta-ries
fieldmice,field-mice
stratification,strat-i-fi-ca-tion
vituperate,vi-tu-per-ate
gastronomy,gas-tron-o-my
bigamously,big-a-mous-ly
dickier,dick-i-er
unfavourably,un-fa-vour-a-bly
halftruth,half--truth
terminated,ter-mi-nat-ed
disparagements,dis-par-age-ments
alpaca,al-pac-a
cogwheel,cog-wheel
harridans,har-ri-dans
impieties,im-pi-e-ties
eructating,e-ruc-tat-ing
providential,prov-i-den-tial
riflemen,ri-fle-men
indoctrinated,in-doc-tri-nat-ed
crabbing,crab-bing
culminations,cul-mi-na-tions
eglantines,eg-lan-tines
maori,ma-o-ri
photoflashes,pho-to-flash-es
brittlest,brit-tlest
moonstruck,moon-struck
unripped,un-ripped
bellylanded,bel-ly--land-ed
crossexamination,cross--ex-am-i-na-tion
aweinspiring,awe--in-spir-ing
fragmentation,frag-men-ta-tion
travestied,trav-es-tied
congresswoman,con-gress-wom-an
garbs,garbs
travesties,trav-es-ties
gloated,gloat-ed
spreadeagle,spread-ea-gle
periwig,per-i-wig
reciprocated,re-cip-ro-cat-ed
casuistry,cas-u-ist-ry
gadabouts,gad-a-bouts
seediest,seed-i-est
faintness,faint-ness
copygirl,cop-y-girl
reciprocates,re-cip-ro-cates
disengagement,dis-en-gage-ment
disservices,dis-serv-ic-es
cotangent,co-tan-gent
rabbitpunch,rab-bit--punch
disforest,dis-for-est
backband,back-band
preterite,pret-er-ite
showoffs,show--offs
outsold,out-sold
noncewords,nonce--words
crosscut,cross-cut
myrmidon,myr-mi-don
impregnating,im-preg-nat-ing
drivein,drive--in
mouldiest,mould-i-est
dandled,dan-dled
dayschool,day--school
doltishly,dolt-ish-ly
caricaturist,car-i-ca-tur-ist
misconstructions,mis-con-struc-tions
perpendicularly,per-pen-dic-u-lar-ly
syllabi,syl-la-bi
dandles,dan-dles
virologists,vi-rol-o-gists
rhetorician,rhet-o-ri-cian
pearlbarley,pearl--bar-ley
huffy,huff-y
halyard,hal-yard
wakefully,wake-ful-ly
contemporaneously,con-tem-po-ra-ne-ous-ly
fuckups,fuck--ups
rekindle,re-kin-dle
manhandles,man-han-dles
punjab,pun-jab
overarched,o-ver-arched
periodicals,pe-ri-od-i-cals
sealegs,sea--legs
junkshops,junk--shops
longerrange,long-er--range
bloodgroup,blood--group
overarches,o-ver-arch-es
packedout,packed--out
socalled,so--called
summarizes,sum-ma-riz-es
misreporting,mis-re-port-ing
anent,a-nent
merchantmen,mer-chant-men
summarized,sum-ma-rized
farseeing,far--see-ing
investigator,in-ves-ti-ga-tor
gasmasks,gas-masks
compassionately,com-pas-sion-ate-ly
unemployable,un-em-ploy-a-ble
neglectfully,ne-glect-ful-ly
notifying,no-ti-fy-ing
holloas,hol-loas
disproofs,dis-proofs
roundsmen,rounds-men
debunker,de-bunk-er
clockdials,clock--di-als
gasbag,gas-bag
depraves,de-praves
presidia,pre-sid-i-a
sodomites,sod-o-mites
roues,rou-es
duellist,du-el-list
chirpiest,chirp-i-est
coking,cok-ing
panda,pan-da
intravenously,in-tra-ve-nous-ly
subcontracts,sub-con-tracts
filtration,fil-tra-tion
declassified,de-clas-si-fied
offshoots,off-shoots
oatcake,oat-cake
confutations,con-fu-ta-tions
corrosively,cor-ro-sive-ly
unhand,un-hand
selfexplanatory,self--ex-plan-a-to-ry
declassifies,de-clas-si-fies
personifies,per-son-i-fies
oxeyed,ox--eyed
uncertainness,un-cer-tain-ness
firewatching,fire-watch-ing
gastritis,gas-tri-tis
dilapidating,di-lap-i-dat-ing
dustpan,dust-pan
waterjacket,wa-ter--jack-et
poleaxe,pole--axe
dipsomaniac,dip-so-ma-ni-ac
oxeyes,ox-eyes
personified,per-son-i-fied
animists,an-i-mists
hubblebubbles,hub-ble--bub-bles
crania,cra-ni-a
stresses,stress-es
fireballs,fire-balls
postpones,post-pones
tankard,tank-ard
insensitively,in-sen-si-tive-ly
sequestering,se-ques-ter-ing
dunderheads,dun-der-heads
smoochy,smooch-y
adenoids,ad-e-noids
contrarily,con-tra-ri-ly
inequitable,in-eq-ui-ta-ble
cinecameras,cin-e--cam-er-as
inequitably,in-eq-ui-ta-bly
lavatory,lav-a-to-ry
compulsively,com-pul-sive-ly
congratulation,con-grat-u-la-tion
bre,bre
impenitence,im-pen-i-tence
hydrofoils,hy-dro-foils
inculcation,in-cul-ca-tion
reflate,re-flate
carttrack,cart--track
wintertime,win-ter-time
binomials,bi-no-mi-als
cottar,cot-tar
apprenticeships,ap-pren-tice-ships
girdling,gir-dling
administering,ad-min-is-ter-ing
ditching,ditch-ing
anterooms,an-te-rooms
abusing,a-bus-ing
derated,de-rat-ed
bombast,bom-bast
heptameters,hep-tam-e-ters
neutralizations,neu-tral-i-za-tions
unseats,un-seats
healthiness,health-i-ness
lowrelief,low--re-lief
regrouping,re-group-ing
brandingirons,brand-ing--i-rons
overcooking,o-ver--cook-ing
puds,puds
causatively,caus-a-tive-ly
schmaltzier,schmaltz-i-er
yellowbellied,yel-low--bel-lied
tnt,tnt
eradicable,e-rad-i-ca-ble
screenplays,screen-plays
divorcee,di-vor-cee
honeymooners,hon-ey-moon-ers
clavichord,clav-i-chord
submersing,sub-mers-ing
erg,erg
suppository,sup-pos-i-to-ry
souring,sour-ing
indicated,in-di-cat-ed
quaintest,quaint-est
relativistic,rel-a-tiv-is-tic
knesset,knes-set
stinginess,stin-gi-ness
weighingmachine,weigh-ing--ma-chine
repot,re-pot
segmentations,seg-men-ta-tions
crofts,crofts
befuddling,be-fud-dling
footplates,foot-plates
repressiveness,re-pres-sive-ness
sprains,sprains
halfcaste,half--caste
particularize,par-tic-u-lar-ize
cockscombs,cocks-combs
rollingstock,roll-ing--stock
rebinds,re-binds
foreshortens,fore-short-ens
ejaculations,e-jac-u-la-tions
bebop,be-bop
deliquesce,del-i-quesce
barer,bar-er
firebox,fire-box
mulishness,mul-ish-ness
greediness,greed-i-ness
restauranteurs,res-tau-ran-teurs
foundering,found-er-ing
closecut,close--cut
alienate,al-ien-ate
doubledeckers,dou-ble--deck-ers
rackrents,rack--rents
meeds,meeds
flatirons,flat-i-rons
counterirritants,coun-ter-ir-ri-tants
plasterboard,plas-ter-board
pruningsaws,prun-ing--saws
prickings,prick-ings
tableturning,ta-ble--turn-ing
gumption,gump-tion
archdioceses,arch-di-o-ces-es
slimmed,slimmed
handier,hand-i-er
pithead,pit-head
miming,mim-ing
stencils,sten-cils
putupon,put--up-on
priming,prim-ing
ambuscades,am-bus-cades
defrauded,de-fraud-ed
laagers,laa-gers
levitations,lev-i-ta-tions
stickles,stick-les
drudged,drudged
ambuscaded,am-bus-cad-ed
understated,un-der-stat-ed
conferment,con-fer-ment
damages,dam-ag-es
sandiest,sand-i-est
typescript,type-script
peachick,pea-chick
egoistically,e-go-is-ti-cal-ly
sleepiness,sleep-i-ness
laconically,la-con-i-cal-ly
expressionist,ex-pres-sion-ist
expressionism,ex-pres-sion-ism
baldpates,bald--pates
waggishness,wag-gish-ness
eventualities,e-ven-tu-al-i-ties
dingo,din-go
irishwomen,i-rish-wom-en
crewneck,crew--neck
presscuttings,press--cut-tings
aerodynamics,aer-o-dy-nam-ics
masseuse,mas-seuse
pelves,pel-ves
brickfield,brick-field
extrajudicial,ex-tra-ju-di-cial
bootees,boot-ees
raffles,raf-fles
latinists,lat-in-ists
ruggedly,rug-ged-ly
freeandeasy,free--and--eas-y
raffled,raf-fled
ingenuousness,in-gen-u-ous-ness
confections,con-fec-tions
fatting,fat-ting
sampan,sam-pan
hobbledehoys,hob-ble-de-hoys
bellhops,bell-hops
certifies,cer-ti-fies
pupated,pu-pat-ed
widgeons,wid-geons
secedes,se-cedes
lazarettos,laz-a-ret-tos
curtailment,cur-tail-ment
seceded,se-ced-ed
mudflats,mud-flats
pupates,pu-pates
ballades,bal-lades
safetycurtains,safe-ty--cur-tains
mispronunciations,mis-pro-nun-ci-a-tions
caricaturing,car-i-ca-tur-ing
fleapit,flea-pit
transferability,trans-fer-a-bil-i-ty
eyebaths,eye-baths
swanking,swank-ing
consubstantiation,con-sub-stan-ti-a-tion
griming,grim-ing
refuges,ref-ug-es
ticklishly,tick-lish-ly
poofs,poofs
poofy,poof-y
welladjusted,well--ad-just-ed
implicates,im-pli-cates
stillbirth,still-birth
mendicants,men-di-cants
mechanistically,mech-a-nis-ti-cal-ly
tongan,ton-gan
alcoves,al-coves
tribals,trib-als
pardonable,par-don-a-ble
stuccos,stuc-cos
pullthrough,pull-through
takeovers,take-o-vers
nuttiness,nut-ti-ness
rabblerouser,rab-ble--rous-er
pardonably,par-don-a-bly
upholder,up-hold-er
incitements,in-cite-ments
enmeshes,en-mesh-es
reticulating,re-tic-u-lat-ing
perambulator,per-am-bu-la-tor
wintriest,win-tri-est
waster,wast-er
linesmen,lines-men
indecipherably,in-de-ci-pher-a-bly
conscientiousness,con-sci-en-tious-ness
anachronisms,a-nach-ro-nisms
backcombed,back-combed
woodenheaded,wood-en-head-ed
encase,en-case
extraneously,ex-tra-ne-ous-ly
domestics,do-mes-tics
pruningscissors,prun-ing--scis-sors
civvies,civ-vies
combustibles,com-bust-i-bles
jazzing,jazz-ing
mischiefmaker,mis-chief--mak-er
interlinks,in-ter-links
impeller,im-pel-ler
joviality,jo-vi-al-i-ty
fatigueparty,fa-tigue--par-ty
refreshingly,re-fresh-ing-ly
cadge,cadge
comfrey,com-frey
cumbered,cum-bered
demotions,de-mo-tions
fraternized,frat-er-nized
prehensile,pre-hen-sile
fraternizes,frat-er-niz-es
pinafore,pin-a-fore
castiron,cast--i-ron
disembarking,dis-em-bark-ing
germane,ger-mane
indemnification,in-dem-ni-fi-ca-tion
inferentially,in-fer-en-tial-ly
bittiest,bit-ti-est
soaping,soap-ing
assessed,as-sessed
stopwatches,stop-watch-es
acknowledgements,ac-knowl-edge-ments
copiers,cop-i-ers
kilohertz,kil-o-hertz
charlestons,charles-tons
backhanded,back-hand-ed
hindis,hin-dis
enshrines,en-shrines
ejector,e-jec-tor
swami,swa-mi
circumvention,cir-cum-ven-tion
swagging,swag-ging
wagefreezes,wage--freez-es
pudendum,pu-den-dum
repudiation,re-pu-di-a-tion
firealarms,fire--a-larms
beauteously,beau-te-ous-ly
overdoes,o-ver-does
knockups,knock--ups
tailormade,tai-lor--made
dearness,dear-ness
scatology,sca-tol-o-gy
poorbox,poor--box
reduplications,re-du-pli-ca-tions
firehose,fire--hose
misdirecting,mis-di-rect-ing
sleuths,sleuths
groyne,groyne
geyser,gey-ser
absurdities,ab-surd-i-ties
draughtsman,draughts-man
nullifies,nul-li-fies
picnicker,pic-nick-er
gutsy,guts-y
hairshirt,hair--shirt
sempstress,semp-stress
tracers,trac-ers
belaboured,be-la-boured
chainstitches,chain--stitch-es
tracery,trac-er-y
deliberative,de-lib-er-a-tive
hallmarked,hall-marked
sarawakians,sa-ra-wak-ians
domesticity,do-mes-tic-i-ty
behindhand,be-hind-hand
almondeyed,al-mond--eyed
scrubber,scrub-ber
photostat,pho-to-stat
pressagents,press--a-gents
insurgents,in-sur-gents
plainspoken,plain-spo-ken
dogcarts,dog-carts
emasculation,e-mas-cu-la-tion
rentrolls,rent--rolls
parishioner,pa-rish-ion-er
oxcarts,ox-carts
splotches,splotch-es
mousing,mous-ing
mailboats,mail-boats
strongrooms,strong--rooms
brasserie,bras-se-rie
litterlouts,lit-ter-louts
frontline,front--line
dogtired,dog--tired
waterlily,wa-ter--lil-y
introversion,in-tro-ver-sion
begrime,be-grime
misguides,mis-guides
transcendentalism,tran-scen-den-tal-ism
constellating,con-stel-lat-ing
transcendentalist,tran-scen-den-tal-ist
misguided,mis-guid-ed
disavowed,dis-a-vowed
mallows,mal-lows
pedantries,ped-ant-ries
radiotelescope,ra-di-o--tel-e-scope
snootiness,snoot-i-ness
flypast,fly-past
civets,civ-ets
despotically,des-pot-i-cal-ly
spitted,spit-ted
highnesses,high-ness-es
roofgardens,roof--gar-dens
snowfalls,snow-falls
countertenors,coun-ter-ten-ors
nordics,nor-dics
lilywhite,lil-y--white
astringency,as-trin-gen-cy
liedetector,lie--de-tec-tor
constitutionalists,con-sti-tu-tion-al-ists
scrumhalfs,scrum-halfs
upbeats,up-beats
restocks,re-stocks
haltingly,halt-ing-ly
mutations,mu-ta-tions
nonconformist,non-con-form-ist
jewelling,jew-el-ling
anticipatory,an-tic-i-pa-to-ry
nonconformism,non-con-form-ism
wateringcan,wa-ter-ing--can
guzzlers,guz-zlers
telecommunications,tel-e-com-mu-ni-ca-tions
companionway,com-pan-ion-way
balancewheels,bal-ance--wheels
backwardness,back-ward-ness
cureall,cure--all
perfervid,per-fer-vid
gasring,gas--ring
lockup,lock-up
addictions,ad-dic-tions
hospitalization,hos-pi-tal-i-za-tion
hacksaw,hack-saw
overtax,o-ver-tax
psychically,psy-chi-cal-ly
attacker,at-tack-er
novitiates,no-vi-ti-ates
noblesses,no-bless-es
copingstones,cop-ing-stones
elvers,el-vers
toothpowder,tooth-pow-der
depthcharges,depth--charg-es
aubrietia,au-brie-tia
gnp,gnp
sashlines,sash--lines
gnu,gnu
liaised,li-aised
makeweight,make-weight
pustules,pus-tules
tees,tees
warbled,war-bled
catchmentbasin,catch-ment--ba-sin
stickingplasters,stick-ing--plas-ters
liaises,li-ais-es
characterizing,char-ac-ter-iz-ing
patrimonies,pa-tri-mo-nies
fruiterer,fruit-er-er
cont,cont
divisively,di-vi-sive-ly
cony,co-ny
marksmanship,marks-man-ship
beetled,bee-tled
fiendishness,fiend-ish-ness
teutonic,teu-ton-ic
conj,conj
tableknives,ta-ble--knives
posthorses,post--hors-es
jabberers,jab-ber-ers
fattish,fat-tish
alevel,a--lev-el
hottesttempered,hot-test--tem-pered
hypothecated,hy-poth-e-cat-ed
quirk,quirk
offlicences,off--li-cenc-es
papayas,pa-pa-yas
federating,fed-er-at-ing
addressees,ad-dress-ees
disparaged,dis-par-aged
noticeboards,no-tice--boards
hypothecates,hy-poth-e-cates
plainsong,plain-song
disciplining,dis-ci-plin-ing
acceleration,ac-cel-er-a-tion
moussaka,mous-sa-ka
impromptus,im-promp-tus
ferrules,fer-rules
firstnighter,first--night-er
shindy,shin-dy
overskirts,o-ver-skirts
crossheadings,cross--head-ings
endues,en-dues
costliness,cost-li-ness
lockgate,lock--gate
vapidness,vap-id-ness
tabling,ta-bling
wops,wops
indecorously,in-dec-o-rous-ly
subtenants,sub-ten-ants
slackest,slack-est
criterions,cri-te-ri-ons
calypsos,ca-lyp-sos
sabbatical,sab-bat-i-cal
hermetical,her-met-i-cal
namedrops,name-drops
beautifying,beau-ti-fy-ing
quincentenary,quin-cen-te-nar-y
antes,an-tes
blowback,blow-back
similarities,sim-i-lar-i-ties
panamanian,pan-a-ma-ni-an
selfopinionated,self--o-pin-ion-at-ed
cowhand,cow-hand
joss,joss
slouchingly,slouch-ing-ly
chimneysweeps,chim-ney-sweeps
misdemean,mis-de-mean
monotheists,mono-the-ists
impulsions,im-pul-sions
tricking,trick-ing
pizzicato,piz-zi-ca-to
balmiest,balm-i-est
smudgiest,smudg-i-est
lcm,lcm
diminutives,di-min-u-tives
cantilevers,can-ti-le-vers
squeegees,squee-gees
autocratic,au-to-crat-ic
servitor,ser-vi-tor
chieftancies,chief-tan-cies
deviance,de-vi-ance
freshens,fresh-ens
saintlier,saint-li-er
ilexes,i-lex-es
squeegeed,squee-geed
inopportuneness,in-op-por-tune-ness
fluoride,fluo-ride
lookover,look--o-ver
wroughtup,wrought--up
partridges,par-tridg-es
hassle,has-sle
pugnacious,pug-na-cious
contaminating,con-tam-i-nat-ing
glamorize,glam-or-ize
adorably,a-dor-a-bly
congratulate,con-grat-u-late
matriculate,ma-tric-u-late
prelacy,prel-a-cy
strads,strads
divanbed,di-van--bed
pruningknives,prun-ing--knives
melange,me-lange
zanies,za-nies
cortical,cor-ti-cal
poohpoohing,pooh--pooh-ing
elucidate,e-lu-ci-date
deferential,def-er-en-tial
newmarket,new-mar-ket
substitution,sub-sti-tu-tion
pees,pees
codifications,cod-i-fi-ca-tions
centennials,cen-ten-ni-als
bandmasters,band-mas-ters
caravanning,car-a-van-ning
dialecticians,di-a-lec-ti-cians
bethinking,be-think-ing
bunkups,bunk--ups
clippie,clip-pie
injudiciousness,in-ju-di-cious-ness
thermostat,ther-mo-stat
synagogues,syn-a-gogues
disarrayed,dis-ar-rayed
tawdrier,taw-dri-er
curios,cu-ri-os
predictively,pre-dic-tive-ly
obligate,ob-li-gate
consented,con-sent-ed
auricular,au-ric-u-lar
cleverest,clev-er-est
familiarize,fa-mil-iar-ize
hoodwink,hood-wink
lenity,len-i-ty
connote,con-note
refloat,re-float
teachest,tea--chest
conservation,con-ser-va-tion
spicily,spic-i-ly
pragmatically,prag-mat-i-cal-ly
sojourns,so-journs
garaged,ga-raged
ideologists,i-de-ol-o-gists
clamming,clam-ming
sunnily,sun-ni-ly
referendums,ref-er-en-dums
consolatory,con-sol-a-to-ry
freelancer,free-lanc-er
observances,ob-ser-vanc-es
proportionally,pro-por-tion-al-ly
darkrooms,dark-rooms
retroflexed,ret-ro-flexed
foureyes,four-eyes
reproductive,re-pro-duc-tive
atheistically,a-the-is-ti-cal-ly
spiritlessness,spir-it-less-ness
mishit,mis-hit
hautboys,haut-boys
coverings,cov-er-ings
inseminated,in-sem-i-nat-ed
martially,mar-tial-ly
kennelled,ken-nelled
lustrously,lus-trous-ly
allday,all--day
ragtag,rag-tag
goodnaturedly,good--na-tured-ly
mollification,mol-li-fi-ca-tion
prevalently,prev-a-lent-ly
fibbing,fib-bing
perceptivity,per-cep-tiv-i-ty
potholer,pot-hol-er
luffs,luffs
constriction,con-stric-tion
viscountcies,vis-count-cies
nimrods,nim-rods
senatorial,sen-a-to-ri-al
symptomatically,symp-to-mat-i-cal-ly
hoarseness,hoarse-ness
featherbedding,feath-er-bed-ding
bulling,bull-ing
schmaltziest,schmaltz-i-est
beggarmen,beg-gar-men
cheapskates,cheap-skates
enthuses,en-thus-es
mulling,mull-ing
update,up-date
jollified,jol-li-fied
authoritarianism,au-thor-i-tar-i-an-ism
deposing,de-pos-ing
jollifies,jol-li-fies
waterpower,wa-ter-pow-er
ramify,ram-i-fy
chairperson,chair-per-son
signori,si-gno-ri
abridges,a-bridg-es
faze,faze
jamjars,jam--jars
signore,si-gno-re
latecomer,late-com-er
haycocks,hay-cocks
signora,si-gno-ra
bathingmachines,bath-ing--ma-chines
accolade,ac-co-lade
discourtesies,dis-cour-te-sies
gutting,gut-ting
knockouts,knock-outs
concords,con-cords
signors,si-gnors
incredibility,in-cred-i-bil-i-ty
bunkhouse,bunk-house
interlaces,in-ter-lac-es
redeployment,re-de-ploy-ment
oilpalm,oil--palm
pachyderm,pach-y-derm
supplement,sup-ple-ment
amplest,am-plest
tenable,ten-a-ble
interlaced,in-ter-laced
dissatisfies,dis-sat-is-fies
disinfesting,dis-in-fest-ing
gigs,gigs
bedsits,bed-sits
moorhens,moor-hens
incapacitate,in-ca-pac-i-tate
earthier,earth-i-er
mountie,moun-tie
oldster,old-ster
chirrup,chir-rup
airing,air-ing
sittingrooms,sit-ting--rooms
ophthalmologist,oph-thal-mol-o-gist
skulduggery,skul-dug-ger-y
puppeteer,pup-pet-eer
guv,guv
conglomeration,con-glom-er-a-tion
dependently,de-pend-ent-ly
plutocrats,plu-to-crats
verifiable,ver-i-fi-a-ble
tintinnabula,tin-tin-nab-ul-a
jackaroo,jack-a-roo
cosh,cosh
detonates,det-o-nates
scriptures,scrip-tures
cosy,co-sy
memorably,mem-o-ra-bly
pigeonholing,pi-geon-hol-ing
typesetters,type-set-ters
bureaucratic,bu-reau-crat-ic
teacupsful,tea-cups-ful
cynically,cyn-i-cal-ly
sociably,so-cia-bly
launchingpads,launch-ing--pads
efficacious,ef-fi-ca-cious
advertent,ad-vert-ent
publicspirited,pub-lic--spir-it-ed
timeballs,time--balls
obsessing,ob-sess-ing
muesli,mues-li
combatant,com-bat-ant
thumped,thumped
grumpiness,grump-i-ness
equably,eq-ua-bly
mellower,mel-low-er
rooked,rooked
steamboilers,steam--boil-ers
burdensome,bur-den-some
onesidedly,one--sid-ed-ly
doorplates,door-plates
washbowl,wash-bowl
airbase,air-base
ineffectiveness,in-ef-fec-tive-ness
puffer,puff-er
creepily,creep-i-ly
unprofessionally,un-pro-fes-sion-al-ly
sextet,sex-tet
quenching,quench-ing
firearm,fire-arm
driest,dri-est
captivate,cap-ti-vate
symbolizes,sym-bol-iz-es
greasepaint,grease-paint
stableboys,sta-ble--boys
eurhythmics,eu-rhyth-mics
airraids,air--raids
cableslengths,ca-bles--lengths
witnessstand,wit-ness--stand
privateer,pri-va-teer
wrongheadedly,wrong-head-ed-ly
antilog,an-ti-log
exhibitor,ex-hib-i-tor
officeholder,of-fice-hold-er
dermatologist,der-ma-tol-o-gist
selfdetermination,self--de-ter-mi-na-tion
tunnellers,tun-nel-lers
gunrunners,gun-run-ners
stormcones,storm--cones
prepay,pre-pay
diddled,did-dled
grouching,grouch-ing
eritreans,er-i-tre-ans
goutier,gout-i-er
preexists,pre--ex-ists
syntactically,syn-tac-ti-cal-ly
disinfection,dis-in-fec-tion
jackknifes,jack--knifes
fortifies,for-ti-fies
fortifier,for-ti-fi-er
fulminated,ful-mi-nat-ed
airshafts,air-shafts
fracturing,frac-tur-ing
ruritanian,ru-ri-ta-ni-an
chit,chit
entrants,en-trants
wardresses,ward-ress-es
moguls,mo-guls
anteater,ant-eat-er
airbeds,air-beds
shellfishes,shell-fish-es
officeholders,of-fice-hold-ers
varnishes,var-nish-es
allots,al-lots
strongroom,strong--room
lactates,lac-tates
giveaways,give--a-ways
evangelizes,e-van-gel-iz-es
snapdragon,snap-drag-on
takings,tak-ings
vamped,vamped
chatterers,chat-ter-ers
etymological,et-y-mo-log-i-cal
addling,ad-dling
godparents,god-par-ents
evangelized,e-van-ge-lized
lactated,lac-tat-ed
retorted,re-tort-ed
foreboded,fore-bod-ed
sedately,se-date-ly
escalate,es-ca-late
marketgardening,mar-ket--gar-den-ing
sprocketwheel,sprock-et--wheel
coalfaces,coal-fac-es
plangency,plan-gen-cy
downandouter,down--and--out-er
inseminates,in-sem-i-nates
threshingmachine,thresh-ing--ma-chine
scantlings,scant-lings
counterpoising,coun-ter-pois-ing
barterers,bar-ter-ers
endemics,en-dem-ics
sagacity,sa-gac-i-ty
reputations,rep-u-ta-tions
housewrecker,house-wreck-er
acquaintanceship,ac-quaint-ance-ship
approx,approx
warhead,war-head
pocketmoney,pock-et--mon-ey
houseboy,house-boy
nonpayment,non-pay-ment
passivizing,pas-siv-iz-ing
disparities,dis-par-i-ties
newsrooms,news-rooms
troubleshooters,troub-le-shoot-ers
equalling,e-qual-ling
earplugs,ear-plugs
clarts,clarts
biennially,bi-en-ni-al-ly
clarty,clar-ty
paladin,pal-a-din
hardcovers,hard-cov-ers
blacklists,black-lists
bursaries,bur-sa-ries
lancers,lanc-ers
milkmaids,milk-maids
nog,nog
nob,nob
nov,nov
susceptibility,sus-cep-ti-bil-i-ty
telegraphpole,tel-e-graph--pole
unloader,un-load-er
avocations,av-o-ca-tions
spieled,spieled
pinier,pin-i-er
cannibalistic,can-ni-bal-is-tic
paroquets,par-o-quets
instabilities,in-sta-bil-i-ties
discolouration,dis-col-our-a-tion
countersunk,coun-ter-sunk
naturalization,nat-u-ral-i-za-tion
pommel,pom-mel
sot,sot
seamanship,sea-man-ship
standto,stand--to
ulcerating,ul-cer-at-ing
rapists,rap-ists
coaled,coaled
